wort;übersetzung;wortart;niveau;thema
a, an;ein / eine;indefinite article;A1;
about;über / ungefähr;prep., adv.;A1;
above;über / oberhalb;prep., adv.;A1;
across;über / quer;prep., adv.;A1;
action;Handlung / Aktion;n.;A1;
activity;Aktivität;n.;A1;
actor;Schauspieler;n.;A1;
actress;Schauspielerin;n.;A1;
add;hinzufügen;v.;A1;
address;Adresse;n.;A1;
adult;Erwachsener;n.;A1;
advice;Rat / Ratschlag;n.;A1;
afraid;ängstlich / besorgt;adj.;A1;
after;nach;prep.;A1;
afternoon;Nachmittag;n.;A1;
again;wieder / nochmal;adv.;A1;
age;Alter;n.;A1;
ago;vor (zeitlich);adv.;A1;
agree;zustimmen;v.;A1;
air;Luft;n.;A1;
airport;Flughafen;n.;A1;
all;alle / alles;det., pron.;A1;
also;auch;adv.;A1;
always;immer;adv.;A1;
amazing;erstaunlich / fantastisch;adj.;A1;
and;und;conj.;A1;
angry;wütend;adj.;A1;
animal;Tier;n.;A1;
answer;Antwort / antworten;n., v.;A1;
any;irgendein;det., pron.;A1;
anyone;irgendjemand;pron.;A1;
anything;irgendetwas;pron.;A1;
apartment;Wohnung;n.;A1;
apple;Apfel;n.;A1;
April;April;n.;A1;
area;Gebiet / Bereich;n.;A1;
arm;Arm;n.;A1;
around;um / herum;prep., adv.;A1;
arrive;ankommen;v.;A1;
art;Kunst;n.;A1;
article;Artikel;n.;A1;
artist;Künstler:in;n.;A1;
as;als / wie;prep.;A1;
ask;fragen;v.;A1;
at;an / bei;prep.;A1;
August;August;n.;A1;
aunt;Tante;n.;A1;
autumn;Herbst;n.;A1;
away;weg;adv.;A1;
baby;Baby;n.;A1;
back;Rücken / zurück;n., adv.;A1;
bad;schlecht;adj.;A1;
bag;Tasche;n.;A1;
ball;Ball;n.;A1;
banana;Banane;n.;A1;
band;Band / Kapelle;n.;A1;
bank (money);Bank (Geld);n.;A1;
bath;Bad;n.;A1;
bathroom;Badezimmer;n.;A1;
be;sein;v., auxiliary v.;A1;
beach;Strand;n.;A1;
beautiful;schön;adj.;A1;
because;weil;conj.;A1;
become;werden;v.;A1;
bed;Bett;n.;A1;
bedroom;Schlafzimmer;n.;A1;
beer;Bier;n.;A1;
before;bevor / vor;prep.;A1;
begin;beginnen / anfangen;v.;A1;
beginning;Anfang;n.;A1;
behind;hinter;prep., adv.;A1;
believe;glauben;v.;A1;
below;unter / unterhalb;adv., prep.;A1;
best;beste:r;adj.;A1;
better;besser;adj.;A1;
between;zwischen;prep.;A1;
bicycle;Fahrrad;n.;A1;
big;groß;adj.;A1;
bike;Fahrrad;n.;A1;
bill;Rechnung;n.;A1;
bird;Vogel;n.;A1;
birthday;Geburtstag;n.;A1;
black;schwarz;adj., n.;A1;
blog;Blog;n.;A1;
blonde;blond;adj.;A1;
blue;blau;adj., n.;A1;
boat;Boot;n.;A1;
body;Körper;n.;A1;
book;Buch;n.;A1;
boot;Stiefel;n.;A1;
bored;gelangweilt;adj.;A1;
boring;langweilig;adj.;A1;
born;geboren;v.;A1;
bottle;Flasche;n.;A1;
box;Schachtel / Kiste;n.;A1;
boy;Junge;n.;A1;
boyfriend;Freund (Beziehung);n.;A1;
bread;Brot;n.;A1;
break;Pause / brechen;v., n.;A1;
breakfast;Frühstück;n.;A1;
bring;bringen;v.;A1;
brother;Bruder;n.;A1;
brown;braun;adj., n.;A1;
build;bauen;v.;A1;
building;Gebäude;n.;A1;
bus;Bus;n.;A1;
business;Geschäft / Unternehmen;n.;A1;
busy;beschäftigt;adj.;A1;
but;aber;conj.;A1;
butter;Butter;n.;A1;
buy;kaufen;v.;A1;
by;von / durch;prep.;A1;
bye;tschüss;exclam.;A1;
