wort;übersetzung;wortart;niveau;thema
abandon;verlassen / aufgeben;v.;B2;
absolute;absolut;adj.;B2;
academic;akademisch;n.;B2;
acceptable;akzeptabel;adj.;B2;
accompany;begleiten;v.;B2;
account;Konto / Bericht;v.;B2;
accurate;genau / präzise;adj.;B2;
accuse;beschuldigen;v.;B2;
acknowledge;anerkennen / zugeben;v.;B2;
acquire;erwerben;v.;B2;
actual;tatsächlich;adj.;B2;
adapt;anpassen;v.;B2;
additional;zusätzlich;adj.;B2;
address;Adresse / ansprechen;v.;B2;
administration;Verwaltung;n.;B2;
adopt;annehmen / adoptieren;v.;B2;
advance;Fortschritt / vorrücken;n., v., adj.;B2;
affair;Angelegenheit / Affäre;n.;B2;
afterwards;danach;adv.;B2;
agency;Agentur;n.;B2;
agenda;Agenda / Tagesordnung;n.;B2;
aggressive;aggressiv;adj.;B2;
aid;Hilfe / helfen;n., v.;B2;
aircraft;Flugzeug;n.;B2;
alarm;Alarm;v.;B2;
alter;ändern;v.;B2;
amount;Menge / Betrag;v.;B2;
anger;Wut / Ärger;n.;B2;
angle;Winkel;n.;B2;
anniversary;Jahrestag;n.;B2;
annual;jährlich;adj.;B2;
anxious;ängstlich / besorgt;adj.;B2;
apparent;offensichtlich / scheinbar;adj.;B2;
apparently;anscheinend;adv.;B2;
appeal;Reiz / appellieren;n., v.;B2;
approach;Ansatz / sich nähern;n., v.;B2;
appropriate;angemessen;adj.;B2;
approval;Zustimmung / Genehmigung;n.;B2;
approve;genehmigen / zustimmen;v.;B2;
arise;entstehen / sich ergeben;v.;B2;
armed;bewaffnet;adj.;B2;
arms;Waffen;n.;B2;
artificial;künstlich;adj.;B2;
artistic;künstlerisch;adj.;B2;
ashamed;beschämt;adj.;B2;
aspect;Aspekt;n.;B2;
assess;bewerten / einschätzen;v.;B2;
assessment;Bewertung;n.;B2;
associate;verbinden / Geschäftspartner:in;v.;B2;
associated;verbunden / verknüpft;adj.;B2;
association;Verein / Verbindung;n.;B2;
assume;annehmen;v.;B2;
attempt;versuchen / Versuch;n., v.;B2;
back;Rücken / unterstützen;v.;B2;
bacteria;Bakterien;n.;B2;
bar;Bar / Stange;v.;B2;
barrier;Barriere / Hindernis;n.;B2;
basically;im Grunde;adv.;B2;
battle;Schlacht;v.;B2;
bear (deal with);ertragen / aushalten;v.;B2;
beat;schlagen;n.;B2;
beg;betteln / bitten;v.;B2;
being;Lebewesen / Sein;n.;B2;
bent;verbogen / gebogen;adj.;B2;
bet;wetten / Wette;v., n.;B2;
beyond;jenseits / über … hinaus;prep., adv.;B2;
bill;Rechnung / Gesetzentwurf;v.;B2;
bitter;bitter;adj.;B2;
blame;beschuldigen / Schuld;v., n.;B2;
blind;blind;adj.;B2;
bond;Bindung / Anleihe;n.;B2;
border;Grenze;v.;B2;
breast;Brust;n.;B2;
brief;kurz;adj.;B2;
broad;breit;adj.;B2;
broadcast;senden / Sendung;v., n.;B2;
budget;Budget;n.;B2;
bullet;Kugel (Geschoss);n.;B2;
bunch;Bund / Bündel;n.;B2;
